church_name,street_address,city,state,zip,type,word_count
Elevation Church STL,316 Gravois Rd,Fenton,MO,63026,NA,3
ALIVE Church - St. Louis,1809 Des Peres Rd,St. Louis,MO,63131,NA,5
MiddleTree Church,2105 McCausland Ave,St. Louis,MO,63143,NA,2
Gracelife Chapel - JeffCo,1 Victory Dr,Pevely,MO,63070,NA,4
Grace Church,5151 N Illinois St,Fairview Heights,IL,62208,NA,2
Gracelife Chapel - DeSoto,1000 N Main St,DeSoto,MO,63020,NA,4
Faith Christian Family Church - Wentzville,2349 W Pearce Blvd,Wentzville,MO,63385,NA,6
Faith Christian Family Church - Warrenton,17350 E Veterans Memorial Pkwy,Truesdale,MO,63380,NA,6
City Hope Church,1000 E 3rd St,Centralia,IL,62801,NA,3
Grace Church,12640 S US Hwy 63,Rolla,MO,65401,NA,2
Love and Truth Church - Crainville,1201 Marion St,Crainville,IL,62918,NA,6
The Bridge Church,2125 William St,Cape Girardeau,MO,63701,NA,3
Manna Church,Waynesville Middle School,Waynesville,MO,Waynesville Middle School,School,2
The River,25625 Hwy 17,Waynesville,MO,65583,NA,2
The Roads Church - Norris City,583 US Hwy 45,Norris City,IL,62869,NA,6
Family Life Fellowship,1614 Highway 24E,Moberly,MO,65270,NA,3
Relevant Church,3425 Oak St,Paducah,KY,42003,NA,2
CrossviewChurch,1807 High St,Keokuk,IA,52632,NA,1
The Roads Church - Mt. Carmel,715 W 3rd St,Mt. Carmel,IL,62863,NA,6
Victory Faith Church,2359 53rd St,Fort Madison,IA,52627,NA,3
Grace Life,100 WK&T Technology Dr,Mayfield,KY,42066,NA,2
The Tabernacle,1845 W Hovey Ave,Normal,IL,61761,NA,2
Hope City Church,1001 N Main St,Evansville,IN,47711,NA,3
Relevant Faith Church,1831 Knoxville Ave,Peoria,IL,61603,NA,3
Destiny Church - Marshfield,1235 Spur Dr,Marshfield,MO,65706,NA,4
The Well,5600 Ward Rd,Evansville,IN,47711,NA,2
Harvest Church,2118 Cindy Lynn,Urbana,IL,61802,NA,2
Christ Tabernacle,1839 US 62,Princeton,KY,42445,NA,2
Purpose Church,601 S 12th St,Murray,KY,42071,NA,2
The Heights Church,4787 S 135th Rd,Bolivar,MO,65613,NA,3
Love and Truth Church - Dyersburg,1975 Brewer Rd,Dyersburg,TN,38024,NA,6
Victory Church,615 Brown Rd,Madisonville,KY,42431,NA,2
