gender,race,birthyr,faminc_new,educ,pid7,pid3,ideo5,CC20_410,CC20_430a_1,CC20_430a_2,CC20_430a_3,CC20_430a_4,CC20_430a_5,CC20_430a_6
1,1,1966,2,4,6,2,4,2,2,2,2,2,2,2
2,1,1955,7,6,1,1,1,NA,2,2,2,2,2,1
2,1,1946,7,5,3,3,3,1,2,2,2,2,2,1
2,1,1962,10,5,1,1,3,1,2,2,2,2,2,2
1,1,1967,2,5,4,3,3,4,2,2,2,2,2,2
1,1,1961,5,3,7,2,4,2,2,1,2,2,2,2
1,2,1950,3,3,4,5,6,NA,2,2,2,2,2,2
2,1,1947,2,3,4,3,3,2,2,2,2,2,2,1
2,1,1970,6,2,6,2,3,2,2,2,2,2,2,2
2,1,1963,7,5,1,1,2,1,2,1,2,2,2,1
2,1,1966,9,5,2,1,3,1,2,2,2,2,2,2
2,1,1961,5,5,2,1,3,1,2,1,2,2,2,2
1,1,1959,9,3,1,1,3,1,2,1,2,2,1,1
2,1,1959,97,4,1,1,2,1,2,2,2,1,2,2
1,1,1960,9,3,7,2,5,2,2,2,2,2,1,2
1,1,1961,97,4,4,4,4,2,2,2,2,2,2,2
2,1,1950,10,4,7,2,5,2,1,2,2,2,1,1
1,2,1946,14,5,1,1,3,1,2,1,2,2,1,1
2,2,1963,9,6,1,1,3,1,2,2,2,2,1,1
1,1,1984,6,5,3,3,2,1,2,2,2,2,2,2
2,1,1984,9,5,1,1,2,1,2,1,2,1,1,1
2,2,1972,5,3,4,3,3,2,2,2,2,2,2,2
2,1,1948,8,3,1,1,1,1,2,2,2,2,2,1
2,1,1950,2,6,2,1,2,1,2,1,1,1,1,1
2,1,1934,97,6,2,1,3,1,2,2,2,2,2,2
2,1,1971,97,3,2,1,3,NA,NA,NA,NA,NA,NA,NA
2,1,1957,9,3,2,1,3,NA,2,2,2,2,2,2
2,1,1978,3,3,1,1,1,1,2,2,2,2,2,2
2,1,1964,2,2,5,3,3,2,2,2,2,2,2,2
1,1,1946,5,4,4,4,5,NA,2,2,2,2,1,2
1,1,1948,5,3,5,3,4,2,2,1,2,2,2,1
1,1,1954,5,5,4,3,3,1,2,2,2,2,2,2
2,1,1987,97,5,3,5,2,NA,2,2,2,2,2,2
2,1,1963,8,4,1,1,1,1,1,1,2,2,1,1
1,1,1946,97,2,4,3,4,2,2,2,2,2,2,2
2,1,1950,9,5,7,2,5,2,2,2,2,2,2,2
2,1,1981,1,4,3,3,3,NA,2,2,2,2,2,2
2,1,1971,10,3,2,1,2,1,2,2,2,2,2,1
1,1,1959,14,4,5,3,3,2,2,2,2,2,2,2
2,2,1965,9,6,4,3,3,1,1,1,2,2,1,1
1,1,1963,10,4,5,3,4,2,2,2,2,2,2,2
2,1,1953,5,3,1,1,1,1,2,1,2,2,1,2
2,1,1987,10,6,4,5,3,2,2,2,2,2,1,2
2,1,1953,3,3,6,2,4,4,2,2,2,2,2,2
1,1,1948,9,6,7,2,5,2,1,1,1,2,1,1
2,7,1973,8,5,4,3,6,4,2,2,2,2,2,2
2,1,1951,5,6,1,1,3,1,2,1,2,2,1,1
2,1,1959,9,6,1,1,3,1,2,1,2,2,1,2
2,1,1953,10,6,1,1,2,1,2,2,2,2,2,1
2,1,1958,10,6,1,1,2,1,2,2,2,2,1,1
2,1,1954,97,5,7,2,5,2,2,2,2,2,2,2
1,1,1967,12,5,4,4,3,4,1,1,2,1,1,1
1,1,1945,6,2,5,3,4,2,2,2,2,2,2,2
2,1,1956,9,4,1,1,2,1,2,2,2,2,2,2
1,1,1970,8,6,6,2,5,2,2,2,2,2,2,2
1,1,1985,8,6,4,3,3,NA,NA,NA,NA,NA,NA,NA
2,1,1967,13,5,1,1,2,1,2,1,2,2,1,1
2,1,1986,4,5,7,2,1,2,2,2,1,2,2,2
2,3,1993,97,5,4,3,3,NA,NA,NA,NA,NA,NA,NA
1,1,1951,10,6,1,1,1,1,2,1,2,2,2,1
1,3,1971,14,5,6,2,4,2,2,2,2,2,2,2
2,1,1968,1,2,4,3,3,NA,2,2,2,2,2,2
2,1,1983,9,6,3,3,4,NA,2,2,2,1,2,2
2,1,1954,2,2,1,1,3,1,2,2,2,2,2,2
2,1,1958,7,3,3,3,3,1,2,2,2,2,2,2
2,3,1959,6,5,2,1,3,1,2,2,2,2,2,2
